away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Max Fried,Atlanta Braves,Sunny,2023-03-30,7,2,0,0,0,718780,Patrick Corbin,Washington Nationals,45,Nationals Park,"8 mph, Out To RF"
Logan Webb,San Francisco Giants,Sunny,2023-03-30,0,5,1,0,1,718781,Gerrit Cole,New York Yankees,39,Yankee Stadium,"13 mph, L To R"
Kyle Gibson,Baltimore Orioles,Sunny,2023-03-30,10,9,1,1,1,718782,Corey Kluber,Boston Red Sox,38,Fenway Park,"12 mph, L To R"
Corbin Burnes,Milwaukee Brewers,Sunny,2023-03-30,0,4,0,0,0,718777,Marcus Stroman,Chicago Cubs,42,Wrigley Field,"10 mph, R To L"
Eduardo Rodriguez,Detroit Tigers,Dome,2023-03-30,0,4,0,0,0,718776,Shane McClanahan,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Aaron Nola,Philadelphia Phillies,Cloudy,2023-03-30,7,11,0,0,0,718779,Jacob deGrom,Texas Rangers,69,Globe Life Field,"12 mph, Varies"
Mitch Keller,Pittsburgh Pirates,Sunny,2023-03-30,5,4,1,0,1,718773,Hunter Greene,Cincinnati Reds,61,Great American Ball Park,"6 mph, In From RF"
Alek Manoah,Toronto Blue Jays,Sunny,2023-03-30,10,9,1,3,1,718772,Miles Mikolas,St. Louis Cardinals,70,Busch Stadium,"16 mph, Out To LF"
Pablo López,Minnesota Twins,Cloudy,2023-03-30,2,0,0,0,0,718775,Zack Greinke,Kansas City Royals,67,Kauffman Stadium,"20 mph, R To L"
Max Scherzer,New York Mets,Roof Closed,2023-03-30,5,3,0,0,0,718774,Sandy Alcantara,Miami Marlins,76,loanDepot park,"0 mph, None"
Dylan Cease,Chicago White Sox,Roof Closed,2023-03-30,3,2,0,0,0,718768,Framber Valdez,Houston Astros,73,Minute Maid Park,"0 mph, None"
Germán Márquez,Colorado Rockies,Partly Cloudy,2023-03-30,7,2,1,1,1,718778,Blake Snell,San Diego Padres,56,Petco Park,"7 mph, L To R"
Shohei Ohtani,Los Angeles Angels,Partly Cloudy,2023-03-30,1,2,0,0,0,718769,Kyle Muller,Oakland Athletics,52,Oakland Coliseum,"10 mph, Out To RF"
Zac Gallen,Arizona Diamondbacks,Clear,2023-03-30,2,8,1,1,0,718770,Julio Urías,Los Angeles Dodgers,54,Dodger Stadium,"4 mph, Out To RF"
Shane Bieber,Cleveland Guardians,Partly Cloudy,2023-03-30,0,3,0,0,0,718767,Luis Castillo,Seattle Mariners,54,T-Mobile Park,"11 mph, Out To LF"
David Peterson,New York Mets,Partly Cloudy,2023-03-31,1,2,0,0,0,718771,Jesús Luzardo,Miami Marlins,80,loanDepot park,"13 mph, In From LF"
Lance Lynn,Chicago White Sox,Roof Closed,2023-03-31,3,6,1,1,0,718764,Cristian Javier,Houston Astros,73,Minute Maid Park,"0 mph, None"
Kyle Freeland,Colorado Rockies,Partly Cloudy,2023-03-31,4,1,1,2,0,718766,Nick Martinez,San Diego Padres,58,Petco Park,"8 mph, L To R"
Merrill Kelly,Arizona Diamondbacks,Partly Cloudy,2023-03-31,2,1,0,0,0,718765,Dustin May,Los Angeles Dodgers,56,Dodger Stadium,"9 mph, L To R"
Hunter Gaddis,Cleveland Guardians,Roof Closed,2023-03-31,9,4,1,0,1,718763,Robbie Ray,Seattle Mariners,45,T-Mobile Park,"0 mph, None"
Lucas Giolito,Chicago White Sox,Roof Closed,2023-04-01,4,6,1,0,2,718760,José Urquidy,Houston Astros,73,Minute Maid Park,"0 mph, None"
Kevin Gausman,Toronto Blue Jays,Cloudy,2023-04-01,1,4,0,0,0,718759,Jack Flaherty,St. Louis Cardinals,46,Busch Stadium,"23 mph, Out To RF"
Brandon Woodruff,Milwaukee Brewers,Cloudy,2023-04-01,3,1,0,0,0,718758,Justin Steele,Chicago Cubs,39,Wrigley Field,"23 mph, In From LF"
