away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Tyler Anderson,Los Angeles Angels,Sunny,2024-04-14,4,5,1,0,2,746975,Brayan Bello,Boston Red Sox,59,Fenway Park,"6 mph, Out To RF"
Mitch Keller,Pittsburgh Pirates,Sunny,2024-04-14,9,2,0,0,0,745595,Zack Wheeler,Philadelphia Phillies,71,Citizens Bank Park,"15 mph, Out To RF"
Colin Rea,Milwaukee Brewers,Sunny,2024-04-14,4,6,1,1,1,747056,Corbin Burnes,Baltimore Orioles,81,Oriole Park at Camden Yards,"15 mph, Out To CF"
Kyle Freeland,Colorado Rockies,Roof Closed,2024-04-14,0,5,1,0,1,744952,José Berríos,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Cole Ragans,Kansas City Royals,Sunny,2024-04-14,1,2,0,0,0,745841,José Buttó,New York Mets,67,Citi Field,"14 mph, Out To CF"
Blake Snell,San Francisco Giants,Dome,2024-04-14,4,9,1,1,3,745113,Shawn Armstrong,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Bailey Ober,Minnesota Twins,Sunny,2024-04-14,3,4,0,0,0,746492,Jack Flaherty,Detroit Tigers,78,Comerica Park,"15 mph, Out To LF"
Charlie Morton,Atlanta Braves,Partly Cloudy,2024-04-14,9,7,0,0,0,746079,Jesús Luzardo,Miami Marlins,80,loanDepot park,"13 mph, In From LF"
Nestor Cortes,New York Yankees,Sunny,2024-04-14,7,8,0,0,0,746648,Logan Allen,Cleveland Guardians,71,Progressive Field,"13 mph, L To R"
Nathan Eovaldi,Texas Rangers,Roof Closed,2024-04-14,5,8,1,0,1,746404,Cristian Javier,Houston Astros,73,Minute Maid Park,"0 mph, None"
Graham Ashcraft,Cincinnati Reds,Partly Cloudy,2024-04-14,11,4,0,0,0,746810,Michael Soroka,Chicago White Sox,78,Guaranteed Rate Field,"5 mph, Out To RF"
Trevor Williams,Washington Nationals,Cloudy,2024-04-14,6,7,0,0,0,745681,Alex Wood,Oakland Athletics,57,Oakland Coliseum,"6 mph, Out To RF"
Javier Assad,Chicago Cubs,Sunny,2024-04-14,3,2,1,1,0,745271,Luis Castillo,Seattle Mariners,54,T-Mobile Park,"6 mph, L To R"
Miles Mikolas,St. Louis Cardinals,Roof Closed,2024-04-14,0,5,0,0,0,747216,Zac Gallen,Arizona Diamondbacks,78,Chase Field,"0 mph, None"
Yu Darvish,San Diego Padres,Overcast,2024-04-14,6,3,0,0,0,746164,James Paxton,Los Angeles Dodgers,55,Dodger Stadium,"4 mph, L To R"
Xzavion Curry,Cleveland Guardians,Partly Cloudy,2024-04-15,6,0,0,0,0,746974,Kutter Crawford,Boston Red Sox,60,Fenway Park,"3 mph, Out To RF"
