away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Corbin Burnes,Milwaukee Brewers,Sunny,2023-06-25,5,4,0,0,0,717613,Aaron Civale,Cleveland Guardians,86,Progressive Field,"10 mph, Out To CF"
Kutter Crawford,Boston Red Sox,Overcast,2023-06-25,1,4,0,0,0,717614,Tanner Banks,Chicago White Sox,86,Guaranteed Rate Field,"6 mph, In From RF"
Tyler Anderson,Los Angeles Angels,Sunny,2023-06-25,3,4,1,0,1,717616,Austin Gomber,Colorado Rockies,73,Coors Field,"10 mph, In From CF"
Ryne Nelson,Arizona Diamondbacks,Partly Cloudy,2023-06-25,5,2,1,1,0,717612,Anthony DeSclafani,San Francisco Giants,59,Oracle Park,"13 mph, Out To CF"
MacKenzie Gore,Washington Nationals,Sunny,2023-06-25,8,3,1,1,0,717610,Seth Lugo,San Diego Padres,70,Petco Park,"10 mph, L To R"
Hunter Brown,Houston Astros,Sunny,2023-06-25,6,5,1,0,1,717615,Tony Gonsolin,Los Angeles Dodgers,74,Dodger Stadium,"9 mph, Out To CF"
Brandon Williamson,Cincinnati Reds,Partly Cloudy,2023-06-26,3,10,1,1,0,717611,Cole Irvin,Baltimore Orioles,79,Oriole Park at Camden Yards,"10 mph, Out To RF"
Colin Rea,Milwaukee Brewers,Cloudy,2023-06-26,2,1,0,0,0,717607,Justin Verlander,New York Mets,74,Citi Field,"5 mph, Out To LF"
Sonny Gray,Minnesota Twins,Partly Cloudy,2023-06-26,1,4,0,0,0,717609,Spencer Strider,Atlanta Braves,88,Truist Park,"13 mph, R To L"
Matthew Boyd,Detroit Tigers,Roof Closed,2023-06-26,7,2,1,0,1,717606,Andrew Heaney,Texas Rangers,74,Globe Life Field,"0 mph, None"
Dylan Cease,Chicago White Sox,Clear,2023-06-26,1,2,1,1,0,717608,Reid Detmers,Los Angeles Angels,74,Angel Stadium,"8 mph, R To L"
Trevor Williams,Washington Nationals,Clear,2023-06-26,4,8,1,1,1,717602,Luis Castillo,Seattle Mariners,73,T-Mobile Park,"0 mph, Calm"
Andrew Abbott,Cincinnati Reds,Cloudy,2023-06-27,3,1,0,0,0,717601,Tyler Wells,Baltimore Orioles,73,Oriole Park at Camden Yards,"5 mph, Out To LF"
Reiss Knehr,San Diego Padres,Cloudy,2023-06-27,4,9,0,0,0,717603,Rich Hill,Pittsburgh Pirates,68,PNC Park,"10 mph, Out To CF"
Ryan Walker,San Francisco Giants,Overcast,2023-06-27,3,0,0,0,0,717604,Kevin Gausman,Toronto Blue Jays,73,Rogers Centre,"21 mph, In From LF"
Sandy Alcantara,Miami Marlins,Cloudy,2023-06-27,10,1,1,3,1,717605,Garrett Whitlock,Boston Red Sox,76,Fenway Park,"4 mph, Out To RF"
Julio Teheran,Milwaukee Brewers,Cloudy,2023-06-27,2,7,0,0,0,717597,David Peterson,New York Mets,76,Citi Field,"9 mph, Out To LF"
Joe Ryan,Minnesota Twins,Partly Cloudy,2023-06-27,2,6,1,1,4,717600,Bryce Elder,Atlanta Braves,86,Truist Park,"8 mph, R To L"
Framber Valdez,Houston Astros,Partly Cloudy,2023-06-27,2,4,1,1,0,717598,Jordan Montgomery,St. Louis Cardinals,87,Busch Stadium,"6 mph, In From LF"
Matt Manning,Detroit Tigers,Roof Closed,2023-06-27,3,8,0,0,0,717599,Martín Pérez,Texas Rangers,74,Globe Life Field,"0 mph, None"
Ranger Suárez,Philadelphia Phillies,Overcast,2023-06-27,5,1,1,1,0,717596,Jameson Taillon,Chicago Cubs,66,Wrigley Field,"8 mph, In From CF"
Gavin Williams,Cleveland Guardians,Clear,2023-06-27,2,1,0,0,0,717591,Brady Singer,Kansas City Royals,87,Kauffman Stadium,"8 mph, R To L"
Clayton Kershaw,Los Angeles Dodgers,Partly Cloudy,2023-06-27,5,0,0,0,0,717594,Connor Seabold,Colorado Rockies,90,Coors Field,"2 mph, R To L"
Michael Kopech,Chicago White Sox,Clear,2023-06-27,2,4,1,0,1,717592,Shohei Ohtani,Los Angeles Angels,73,Angel Stadium,"7 mph, Out To CF"
Jake Irvin,Washington Nationals,Partly Cloudy,2023-06-27,7,4,1,1,2,717590,Bryan Woo,Seattle Mariners,73,T-Mobile Park,"5 mph, In From CF"
Taj Bradley,Tampa Bay Rays,Roof Closed,2023-06-27,4,8,1,0,5,717593,Zac Gallen,Arizona Diamondbacks,78,Chase Field,"0 mph, None"
Jhony Brito,New York Yankees,Partly Cloudy,2023-06-27,1,2,0,0,0,717595,Paul Blackburn,Oakland Athletics,58,Oakland Coliseum,"13 mph, Varies"
Kenta Maeda,Minnesota Twins,Sunny,2023-06-28,0,3,1,0,1,717588,Kolby Allard,Atlanta Braves,85,Truist Park,"6 mph, Out To LF"
Patrick Corbin,Washington Nationals,Sunny,2023-06-28,4,1,1,3,0,717587,Logan Gilbert,Seattle Mariners,72,T-Mobile Park,"0 mph, Calm"
Luke Weaver,Cincinnati Reds,Partly Cloudy,2023-06-28,11,7,1,3,4,717589,Kyle Gibson,Baltimore Orioles,79,Oriole Park at Camden Yards,"5 mph, Out To RF"
Blake Snell,San Diego Padres,Overcast,2023-06-28,1,7,1,0,2,717585,Mitch Keller,Pittsburgh Pirates,73,PNC Park,"6 mph, Out To CF"
Logan Webb,San Francisco Giants,Roof Closed,2023-06-28,1,6,1,0,5,717586,Trevor Richards,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Braxton Garrett,Miami Marlins,Cloudy,2023-06-28,6,2,0,0,0,717583,Kaleb Ort,Boston Red Sox,77,Fenway Park,"3 mph, Out To LF"
